Type,Place,Year,Foreign Number,Foreign Income,Local Number,Local Income
Botanical Garden,Avissawella,2019,203.0,333250.0,249861.0,16135510.0
Botanical Garden,Gampaha,2019,305.0,481150.0,149324.0,10161660.0
Botanical Garden,Ganewattha,2019,3.0,5000.0,551.0,31670.0
Botanical Garden,Hakgala,2019,21207.0,34096150.0,680744.0,42624540.0
Botanical Garden,Mirijawila,2019,0.0,0.0,0.0,0.0
Botanical Garden,Mirijjawila Botanical Garden,2019,261.0,411850.0,89653.0,4750300.0
Botanical Garden,Peradeniya,2019,309909.0,501765150.0,928069.0,57233540.0
Conservation Forest,Adahalena Ella (Galle),2019,0.0,0.0,0.0,0.0
Conservation Forest,Badagamuwa Ecological Zone,2019,0.0,0.0,0.0,0.0
Conservation Forest,Badulla,2019,0.0,0.0,0.0,0.0
Conservation Forest,Badulla Haputhale,2019,0.0,0.0,0.0,0.0
Conservation Forest,Dolukanda,2019,0.0,0.0,0.0,0.0
Conservation Forest,Ek Gal Oya,2019,0.0,0.0,0.0,0.0
Conservation Forest,Gal Oya,2019,0.0,0.0,0.0,0.0
Conservation Forest,Galwila Eco Park,2019,0.0,0.0,0.0,0.0
Conservation Forest,Geradigala,2019,0.0,0.0,0.0,0.0
Conservation Forest,Hurulu Eco Park,2019,70238.33333333333,17827841.866666667,7120.666666666667,487235.0
Conservation Forest,Kande Ela Forest,2019,0.0,0.0,0.0,0.0
Conservation Forest,Kande Ela Nuwara Eliya,2019,0.0,0.0,0.0,0.0
Conservation Forest,Kanneliya Conservation Forest,2019,1985.0,0.7,0.0,0.0
Conservation Forest,Knuckles Conservation Forest,2019,1964.0,0.6,0.0,0.0
Conservation Forest,Kottawa Conservation Forest,2019,168.0,0.05,0.0,0.0
Conservation Forest,Kurulukele,2019,0.0,0.0,0.0,0.0
Conservation Forest,Makandawa Conservation Forest,2019,814.0,2.8,0.0,0.0
Conservation Forest,Mandaramnuwara,2019,0.0,0.0,0.0,0.0
Conservation Forest,Nuwaragala,2019,0.0,0.0,0.0,0.0
Conservation Forest,Piduruthalagala,2019,0.0,0.0,0.0,0.0
Conservation Forest,Rathna Ella,2019,0.0,0.0,0.0,0.0
Conservation Forest,Rathna Ella (Kandy),2019,0.0,0.0,0.0,0.0
Conservation Forest,Sinharaja Conservation Forest,2019,13877.0,4.4,0.0,0.0
Conservation Forest,Udawattakele Conservation Forest,2019,12969.0,3.8,0.0,0.0
Conservation Forest,Yahangala,2019,0.0,0.0,0.0,0.0
Cultural Triangle,Abhayagiriya,2019,1352.0,5810773.5,32348.0,580902.0
Cultural Triangle,Apegama,2019,1202.3333333333333,779952.0333333333,60264.33333333333,3951183.333333333
Cultural Triangle,Buduruwagala,2019,31263.0,11046752.87,0.0,0.0
Cultural Triangle,Dambulla,2019,0.0,0.0,0.0,0.0
Cultural Triangle,Dambulla Museum,2019,315.3333333333333,117658.11111111111,574.1111111111111,14333.333333333332
Cultural Triangle,Galle,2019,0.0,0.0,0.0,0.0
Cultural Triangle,Galle Museum,2019,12427.0,10979817.29777778,51593.11111111111,1838034.4444444445
Cultural Triangle,Ibbankatuwa,2019,0.0,0.0,0.0,0.0
Cultural Triangle,Ibbankatuwa Ancient Burial Ground,2019,1002.0,338153.99,30442.0,580580.0
Cultural Triangle,Jaffna Fort,2019,0.0,0.0,0.0,0.0
Cultural Triangle,Jethawanaya,2019,70397.0,305492981.98,7910.0,144850.0
Cultural Triangle,Kandy,2019,0.0,0.0,0.0,0.0
Cultural Triangle,Kandy Museum,2019,179.88888888888889,44402.89333333333,6201.444444444444,130038.22222222222
Cultural Triangle,Kataragama,2019,0.0,0.0,0.0,0.0
Cultural Triangle,Kataragama Museum,2019,66.22222222222223,65903.11111111111,8748.222222222223,192188.88888888888
Cultural Triangle,Lahugala,2019,254.0,86868.0,0.0,0.0
Cultural Triangle,Namal Uyana,2019,1753.0,1529350.45,70150.0,1393100.0
Cultural Triangle,Polonnaruwa,2019,181778.0,807397086.47,65880.0,2600225.0
Cultural Triangle,Ramba,2019,31.0,11204.0,0.0,0.0
Cultural Triangle,Rathugala,2019,0.0,0.0,0.0,0.0
Cultural Triangle,Ritigala,2019,0.0,0.0,0.0,0.0
Cultural Triangle,Ritigala Forest Monastery,2019,9207.0,2339342.0,52788.0,845500.0
Cultural Triangle,Sigiriya,2019,414575.0,2138587022.76,611310.0,27130650.0
Cultural Triangle,Trincomalee,2019,0.0,0.0,0.0,0.0
Cultural Triangle,Yapahuwa,2019,4660.0,3325575.56,0.0,0.0
Museum,Anuradapura Folk Museum,2019,126.0,12600.0,724.0,2748.0
Museum,Anuradhapura Folk Museum,2019,0.0,0.0,0.0,0.0
Museum,Colombo National Museum,2019,49736.0,49800000.0,169792.0,7945190.0
Museum,Dambulla Museum,2019,321.0,111986.0,560.0,8100.0
Museum,Dutch Museum,2019,0.0,0.0,0.0,0.0
Museum,Galle Maritime Museum,2019,3247.0,983450.0,83605.0,3289050.0
Museum,Galle Museum,2019,12661.0,10217489.46,51286.0,1505295.0
Museum,Galle National Museum,2019,5038.0,1492850.0,25327.0,2258750.0
Museum,Hambantota National Museum,2019,58.0,0.0002,0.0,0.0
Museum,Independence Memorial Museum,2019,1298.0,369900.0,21801.0,168950.0
Museum,Kandy Museum,2019,176.0,41687.13,5818.0,95418.0
