Country,Arrivals,Share,Year
India,355002,18.6,2019
United Kingdom,198776,10.4,2019
China,167863,8.8,2019
Germany,134899,7.0,2019
France,87623,4.6,2019
Australia,92674,4.8,2019
Russian Federation,86549,4.5,2019
United States,68832,3.6,2019
Maldives,60278,3.1,2019
Canada,48729,2.5,2019
India,89357,17.6,2020
United Kingdom,55455,10.9,2020
Russian Federation,49397,9.7,2020
Germany,34507,6.8,2020
China,26147,5.2,2020
France,24838,4.9,2020
Australia,20283,4.0,2020
Ukraine,17169,3.4,2020
United States,16842,3.3,2020
Canada,12436,2.4,2020
India,56268,28.9,2021
Russian Federation,16894,8.7,2021
United Kingdom,16646,8.6,2021
Germany,12442,6.4,2021
Pakistan,7520,3.9,2021
Ukraine,7037,3.6,2021
France,6549,3.4,2021
Maldives,6272,3.2,2021
United States,6124,3.1,2021
Kazakhstan,5754,3.0,2021
India,123004,17.1,2022
Russian Federation,91272,12.7,2022
United Kingdom,85187,11.8,2022
Germany,55542,7.7,2022
France,35482,4.9,2022
Australia,30924,4.3,2022
Canada,26845,3.7,2022
United States,22230,3.1,2022
Maldives,18880,2.6,2022
Poland,18107,2.1,2022
India,302844,20.4,2023
Russian Federation,197498,13.3,2023
United Kingdom,130088,8.7,2023
Germany,102539,6.9,2023
China,68789,4.6,2023
Australia,67436,4.5,2023
France,56251,3.8,2023
United States,46344,3.1,2023
Canada,43944,3.0,2023
Maldives,37328,2.5,2023
India,416974,20.3,2024
Russian Federation,201920,9.8,2024
United Kingdom,178339,8.6,2024
Germany,136084,6.6,2024
China,131681,6.4,2024
Australia,89573,4.4,2024
France,88772,4.3,2024
United States,59532,2.9,2024
Netherlands,50116,2.4,2024
Maldives,47222,2.3,2024
